action,pair,amount,price,total_usdt,initial_usd,current_usd,profit
buy,DATA/BTC,6.132044946536555e-11,64024.47,3.533408349463631e-05,,,
buy,DATA/BTC,5.5434291512452237e-11,63740.48,3.180067514517268e-05,,,
buy,DATA/BTC,4.9974353557230474e-11,63633.99,2.862060763065541e-05,,,
buy,DATA/BTC,4.514876079482124e-11,63391.79,2.5758546867589868e-05,,,
buy,DATA/BTC,4.077655682324767e-11,63169.99,2.318269218083088e-05,,,
buy,DATA/BTC,3.676291179960495e-11,63060.0,2.0864422962747792e-05,,,
buy,DATA/BTC,3.313131058600102e-11,62974.94,1.877798066647301e-05,,,
buy,DATA/BTC,2.9771344277100844e-11,63074.01,1.690018259982571e-05,,,
buy,DATA/BTC,2.688931617838802e-11,62850.92,1.5210164339843137e-05,,,
buy,DATA/BTC,2.4409659861794253e-11,62312.07,1.3689147905858824e-05,,,
buy,DATA/BTC,2.1872536539489937e-11,62586.01,1.2320233115272942e-05,,,
buy,DATA/BTC,1.970281790586508e-11,62530.31,1.1088209803745648e-05,,,
buy,DATA/BTC,1.7668764426900453e-11,62756.0,9.979388823371084e-06,,,
buy,DATA/BTC,1.5866996571010086e-11,62894.0,8.981449941033976e-06,,,
buy,DATA/BTC,1.4365688407711715e-11,62520.15,8.083304946930578e-06,,,
buy,DATA/BTC,1.2908975666677332e-11,62617.71,7.274974452237521e-06,,,
buy,DATA/BTC,1.1638843656803965e-11,62505.99,6.547477007013768e-06,,,
buy,DATA/BTC,1.052513664964919e-11,62208.0,5.892729306312391e-06,,,
buy,DATA/BTC,9.447111470795721e-12,62375.99,5.3034563756811525e-06,,,
buy,DATA/BTC,8.512497794101558e-12,62302.0,4.773110738113037e-06,,,
buy,DATA/BTC,7.643084311068776e-12,62450.06,4.2957996643017335e-06,,,
buy,DATA/BTC,6.9016147323278186e-12,62243.4,3.866219697871561e-06,,,
buy,DATA/BTC,6.211963242999704e-12,62238.29,3.4795977280844046e-06,,,
buy,DATA/BTC,5.5720279531709864e-12,62447.6,3.131637955275964e-06,,,
buy,DATA/BTC,5.005815145901477e-12,62560.0,2.8184741597483678e-06,,,
buy,DATA/BTC,4.525991989391831e-12,62273.07,2.536626743773531e-06,,,
buy,DATA/BTC,4.06221328520554e-12,62444.45,2.2829640693961776e-06,,,
buy,DATA/BTC,3.647245965474076e-12,62594.19,2.05466766245656e-06,,,
buy,DATA/BTC,3.2866552728821956e-12,62515.46,1.8492008962109039e-06,,,
buy,DATA/BTC,2.9739743536022013e-12,62179.45,1.6642808065898135e-06,,,
buy,DATA/BTC,2.7030709868276983e-12,61570.0,1.497852725930832e-06,,,
buy,DATA/BTC,2.4360894251952393e-12,61485.95,1.3480674533377487e-06,,,
buy,DATA/BTC,2.200889802876342e-12,61251.02,1.213260708003974e-06,,,
buy,DATA/BTC,1.982677942249263e-12,61193.03,1.0919346372035766e-06,,,
buy,DATA/BTC,1.7783948849577982e-12,61400.01,9.827411734832188e-07,,,
buy,DATA/BTC,1.5966293531318e-12,61550.99,8.84467056134897e-07,,,
buy,DATA/BTC,1.434318040508948e-12,61664.64,7.960203505214072e-07,,,
buy,DATA/BTC,1.2905564012577857e-12,61680.4,7.164183154692665e-07,,,
buy,DATA/BTC,1.1646970482728356e-12,61511.13,6.447764839223399e-07,,,
buy,DATA/BTC,1.047054854200803e-12,61580.01,5.802988355301059e-07,,,
buy,DATA/BTC,9.417989410706732e-13,61616.0,5.222689519770954e-07,,,
buy,DATA/BTC,8.526400139635169e-13,61253.16,4.700420567793858e-07,,,
buy,DATA/BTC,7.666647095838474e-13,61309.99,4.230378511014472e-07,,,
buy,DATA/BTC,6.902233971672165e-13,61289.99,3.807340659913025e-07,,,
buy,DATA/BTC,6.261456576750128e-13,60805.99,3.426606593921722e-07,,,
buy,DATA/BTC,5.612420406793598e-13,61053.99,3.08394593452955e-07,,,
buy,DATA/BTC,5.013188190856834e-13,61516.66,2.775551341076595e-07,,,
buy,DATA/BTC,4.5365251613155485e-13,61182.32,2.497996206968936e-07,,,
buy,DATA/BTC,4.0591027825028287e-13,61540.6,2.248196586272042e-07,,,
buy,DATA/BTC,3.616844569837514e-13,62159.06,2.0233769276448378e-07,,,
buy,DATA/BTC,3.270907645425362e-13,61859.8,1.821039234880354e-07,,,
buy,DATA/BTC,2.939706221163095e-13,61946.3,1.6389353113923185e-07,,,
buy,DATA/BTC,2.632418463108578e-13,62259.68,1.4750417802530866e-07,,,
buy,DATA/BTC,2.361770346120188e-13,62454.92,1.327537602227778e-07,,,
buy,DATA/BTC,2.1198306773969024e-13,62624.7,1.1947838420050003e-07,,,
buy,DATA/BTC,1.9103294483553332e-13,62543.34,1.0753054578045002e-07,,,
buy,DATA/BTC,1.6992693444461377e-13,63280.46,9.677749120240501e-08,,,
buy,DATA/BTC,1.5343484035007294e-13,63074.0,8.709974208216451e-08,,,
buy,DATA/BTC,1.386039849355076e-13,62840.72,7.838976787394806e-08,,,
buy,DATA/BTC,1.246587226759771e-13,62883.5,7.055079108655326e-08,,,
buy,DATA/BTC,1.1214448544069867e-13,62910.62,6.349571197789793e-08,,,
buy,DATA/BTC,1.0092114963452622e-13,62916.16,5.714614078010814e-08,,,
buy,DATA/BTC,9.080905892278427e-14,62930.0,5.1431526702097326e-08,,,
buy,DATA/BTC,8.193908791437887e-14,62768.0,4.628837403188759e-08,,,
buy,DATA/BTC,7.328052121693253e-14,63166.0,4.165953662869883e-08,,,
buy,DATA/BTC,6.604446879142006e-14,63078.01,3.7493582965828945e-08,,,
buy,DATA/BTC,5.947586130366267e-14,63040.0,3.374422466924605e-08,,,
buy,DATA/BTC,5.3454529291119235e-14,63126.97,3.0369802202321446e-08,,,
buy,DATA/BTC,4.818657704305031e-14,63025.44,2.73328219820893e-08,,,
buy,DATA/BTC,4.318006595313322e-14,63299.63,2.459953978388037e-08,,,
buy,DATA/BTC,3.9041986607523365e-14,63007.91,2.2139585805492336e-08,,,
buy,DATA/BTC,3.513996858214135e-14,63004.0,1.99256272249431e-08,,,
buy,DATA/BTC,3.263079661499198e-14,61063.87,1.793306450244879e-08,,,
buy,DATA/BTC,2.943319757059033e-14,60928.02,1.613975805220391e-08,,,
buy,DATA/BTC,2.6427621457460817e-14,61071.55,1.452578224698352e-08,,,
buy,DATA/BTC,2.405579625197511e-14,60383.71,1.3073204022285168e-08,,,
buy,DATA/BTC,2.1531345088211043e-14,60717.08,1.1765883620056652e-08,,,
buy,DATA/BTC,1.9378248878166253e-14,60716.96,1.0589295258050987e-08,,,
buy,DATA/BTC,1.7498076583968e-14,60516.91,9.530365732245888e-09,,,
buy,DATA/BTC,1.5698183663423253e-14,60709.99,8.577329159021299e-09,,,
buy,DATA/BTC,1.4094930750684096e-14,60854.0,7.71959624311917e-09,,,
buy,DATA/BTC,1.2696706435509563e-14,60799.99,6.947636618807252e-09,,,
buy,DATA/BTC,1.1430795922814815e-14,60779.99,6.2528729569265266e-09,,,
buy,DATA/BTC,1.0271373049009764e-14,60876.7,5.627585661233874e-09,,,
buy,DATA/BTC,9.241424304294942e-15,60895.22,5.064827095110486e-09,,,
buy,DATA/BTC,8.339650050592014e-15,60731.89,4.558344385599437e-09,,,
buy,DATA/BTC,7.501471852021587e-15,60766.0,4.102509947039494e-09,,,
buy,DATA/BTC,6.734037983722289e-15,60921.99,3.6922589523355444e-09,,,
buy,DATA/BTC,6.05755082167497e-15,60953.0,3.32303305710199e-09,,,
buy,DATA/BTC,5.445940859443828e-15,61018.53,2.990729751391791e-09,,,
buy,DATA/BTC,4.919771770710008e-15,60790.01,2.6916567762526116e-09,,,
buy,DATA/BTC,4.419476905375032e-15,60904.42,2.4224910986273503e-09,,,
buy,DATA/BTC,3.987902902936227e-15,60745.99,2.180241988764615e-09,,,
buy,DATA/BTC,3.592778967709141e-15,60684.0,1.9622177898881538e-09,,,
buy,DATA/BTC,3.23211574151965e-15,60710.01,1.7659960108993384e-09,,,
buy,DATA/BTC,2.8964044500080257e-15,60972.01,1.5893964098094046e-09,,,
buy,DATA/BTC,2.6124197050746783e-15,60840.01,1.430456768828464e-09,,,
buy,DATA/BTC,2.3383341939825985e-15,61174.18,1.2874110919456176e-09,,,
buy,DATA/BTC,2.1035716488330587e-15,61201.2,1.158669982751056e-09,,,
buy,DATA/BTC,1.8963800130919504e-15,61099.04,1.0428029844759504e-09,,,
buy,DATA/BTC,1.7035214413500556e-15,61214.55,9.385226860283553e-10,,,
buy,DATA/BTC,1.5349380683870021e-15,61144.01,8.446704174255198e-10,,,
buy,DATA/BTC,1.3843295639619202e-15,61016.57,7.602033756829678e-10,,,
buy,DATA/BTC,1.2478808127817227e-15,60919.55,6.84183038114671e-10,,,
buy,DATA/BTC,1.1232690041726671e-15,60909.99,6.157647343032039e-10,,,
buy,DATA/BTC,1.0123382032963276e-15,60825.99,5.541882608728835e-10,,,
buy,DATA/BTC,9.088332706159773e-16,60977.99,4.987694347855952e-10,,,
buy,DATA/BTC,8.194279995820385e-16,60868.0,4.4889249130703565e-10,,,
buy,DATA/BTC,7.367364561596493e-16,60929.86,4.0400324217633205e-10,,,
buy,DATA/BTC,6.630611781884363e-16,60930.01,3.6360291795869883e-10,,,
buy,DATA/BTC,5.950946946795898e-16,61100.01,3.2724262616282896e-10,,,
buy,DATA/BTC,5.360238698778739e-16,61050.01,2.9451836354654604e-10,,,
buy,DATA/BTC,4.832408946709582e-16,60946.49,2.6506652719189144e-10,,,
buy,DATA/BTC,4.3582139226246417e-16,60819.99,2.385598744727023e-10,,,
buy,DATA/BTC,3.907616571682219e-16,61049.97,2.1470388702543208e-10,,,
buy,DATA/BTC,3.519735275870153e-16,61000.01,1.9323349832288887e-10,,,
buy,DATA/BTC,3.159475636325135e-16,61159.99,1.7391014849059997e-10,,,
