Date,Open,High,Low,Close,Adj Close,Volume
2020-11-29,1.153344,1.185455,1.109422,1.134380,1.134380,3450455
2020-11-30,1.135256,1.227033,1.078150,1.188137,1.188137,6619160
2020-12-01,1.188103,1.327377,1.171348,1.257480,1.257480,7594555
2020-12-02,1.257811,1.564114,1.245401,1.475119,1.475119,13907611
2020-12-03,1.474923,1.476745,1.361258,1.452586,1.452586,7205505
2020-12-04,1.453238,1.691186,1.430762,1.575659,1.575659,13994383
2020-12-05,1.573157,1.874656,1.535560,1.697016,1.697016,22155590
2020-12-06,1.697962,1.698837,1.555581,1.588813,1.588813,7159594
2020-12-07,1.588898,1.735307,1.529526,1.734816,1.734816,9285003
2020-12-08,1.734791,2.243816,1.729668,1.831025,1.831025,32993517
2020-12-09,1.828421,2.339387,1.749300,2.191962,2.191962,24054643
2020-12-10,2.191592,2.361119,1.989366,2.064241,2.064241,14994410
2020-12-11,2.057021,2.057021,1.780959,1.891262,1.891262,11599774
2020-12-12,1.891938,2.169635,1.890038,2.090556,2.090556,11307079
2020-12-13,2.093525,2.213040,2.033066,2.208881,2.208881,5115051
2020-12-14,2.208880,2.917803,2.178330,2.829622,2.829622,40480696
2020-12-15,2.831378,3.408113,2.705695,3.291428,3.291428,55050213
2020-12-16,3.292925,3.905949,2.965339,3.155367,3.155367,66079693
2020-12-17,3.155704,3.384831,2.945287,2.961301,2.961301,37533231
2020-12-18,2.960534,3.522895,2.812363,3.269167,3.269167,32305618
2020-12-19,3.268858,3.370439,3.052453,3.137562,3.137562,18853099
2020-12-20,3.136362,3.136461,2.918666,2.987301,2.987301,14521021
2020-12-21,2.986762,3.894815,2.707767,3.372897,3.372897,35600254
2020-12-22,3.364506,4.700422,3.324970,4.505887,4.505887,79443830
2020-12-23,4.506327,5.261333,3.620781,3.921873,3.921873,95775380
2020-12-24,3.933336,5.045322,3.788200,4.590911,4.590911,49380023
2020-12-25,4.588934,4.832502,4.006710,4.080834,4.080834,23256866
2020-12-26,4.081681,4.709165,3.853277,4.253943,4.253943,34546522
2020-12-27,4.251966,4.935070,4.213334,4.790652,4.790652,35510014
2020-12-28,4.789345,5.042266,4.478065,4.752087,4.752087,30553411
2020-12-29,4.751879,4.751879,4.241618,4.307686,4.307686,22657338
2020-12-30,4.311999,4.590189,3.854377,3.872278,3.872278,19030513
2020-12-31,3.871555,4.334913,3.871555,4.072788,4.072788,13968935
2021-01-01,4.065262,4.198152,3.944481,4.069440,4.069440,10472821
2021-01-02,4.079060,4.101684,3.551163,3.598867,3.598867,17014977
2021-01-03,3.602529,4.513548,3.542931,4.423121,4.423121,26169663
2021-01-04,4.425435,4.734924,3.956252,4.350516,4.350516,21153165
2021-01-05,4.348700,4.854155,4.293444,4.593007,4.593007,20423917
2021-01-06,4.588608,4.868968,4.409926,4.623369,4.623369,20633216
2021-01-07,4.617968,4.800486,4.170398,4.653676,4.653676,24073326
2021-01-08,4.652973,4.929740,4.437423,4.669773,4.669773,20040504
2021-01-09,4.669267,4.870281,4.485457,4.767990,4.767990,11115847
2021-01-10,4.766217,4.890319,4.318565,4.418330,4.418330,13366041
2021-01-11,4.412208,4.413079,3.770950,4.413079,4.413079,22589647
2021-01-12,4.415361,5.002273,4.304603,4.917562,4.917562,21871168
2021-01-13,4.880879,5.739131,4.880879,5.475066,5.475066,58063297
2021-01-14,5.475952,6.893645,5.475952,6.733344,6.733344,46685121
2021-01-15,6.741500,6.741500,5.269309,6.353738,6.353738,35148365
2021-01-16,6.371141,6.606644,6.027141,6.219697,6.219697,24051759
2021-01-17,6.219456,6.439982,5.872269,6.182885,6.182885,19524908
2021-01-18,6.182562,7.514324,6.166229,7.244446,7.244446,35245147
2021-01-19,7.241987,10.782424,7.044066,8.642974,8.642974,150994415
2021-01-20,8.656647,9.222012,7.800079,8.518216,8.518216,52662060
2021-01-21,8.516125,8.517701,7.019451,7.041964,7.041964,37002741
2021-01-22,7.049589,9.407761,6.675951,8.803353,8.803353,54996102
2021-01-23,8.811345,9.264608,8.412160,8.443361,8.443361,31409762
2021-01-24,8.440720,9.157413,8.393699,8.782945,8.782945,30383310
2021-01-25,8.783614,9.305692,8.063454,8.460790,8.460790,31740972
2021-01-26,8.460320,8.839782,7.576571,8.334429,8.334429,36376775
2021-01-27,8.336562,8.394369,7.213412,7.564619,7.564619,30009211
2021-01-28,7.565132,8.743655,7.283124,8.337263,8.337263,36365092
2021-01-29,8.112906,8.407823,7.555744,8.046657,8.046657,41801342
2021-01-30,8.051124,9.926583,7.868625,9.494917,9.494917,70536563
2021-01-31,9.488088,9.610949,8.092086,9.542412,9.542412,40613552
2021-02-01,9.490187,10.617848,8.841827,10.419468,10.419468,58426770
2021-02-02,10.414386,11.994811,9.877409,11.531606,11.531606,54774251
2021-02-03,11.541565,11.949192,10.995125,11.347664,11.347664,45750029
2021-02-04,11.351502,13.491350,11.156781,12.774479,12.774479,63373945
2021-02-05,12.766347,13.665297,12.428957,12.463535,12.463535,51703638
2021-02-06,12.452597,12.484712,11.046483,11.253988,11.253988,59816562
2021-02-07,11.258105,11.879676,10.271708,11.516040,11.516040,42291144
2021-02-08,11.514442,13.790088,11.166588,13.790088,13.790088,70727861
2021-02-09,13.794252,16.847406,13.342576,15.671935,15.671935,130696182
2021-02-10,15.681822,16.010057,13.531476,14.363934,14.363934,76247303
2021-02-11,14.373114,15.669784,13.966945,15.111733,15.111733,56330263
2021-02-12,15.105254,16.244709,15.007342,15.369733,15.369733,52002905
2021-02-13,15.370279,16.957462,14.773016,15.747344,15.747344,54236866
2021-02-14,15.721575,16.774200,14.928600,14.938899,14.938899,51174738
2021-02-15,14.938865,15.032354,12.589664,13.372490,13.372490,46320820
2021-02-16,13.364546,14.261232,12.776866,13.347342,13.347342,34957233
2021-02-17,13.356547,15.166819,12.384650,14.208793,14.208793,50439468
2021-02-18,14.204500,15.928758,14.100078,15.918810,15.918810,62947024
2021-02-19,15.906027,18.059515,15.438075,16.988514,16.988514,87030302
2021-02-20,16.996735,16.996735,14.083609,14.839578,14.839578,63598183
2021-02-21,14.820719,15.472251,13.962897,14.360082,14.360082,50290563
2021-02-22,14.358460,16.497349,11.633117,15.680915,15.680915,111375164
2021-02-23,15.682774,15.730030,11.148672,13.516213,13.516213,94665603
2021-02-24,13.530482,15.761550,12.525870,14.045992,14.045992,66160943
2021-02-25,14.047544,14.652199,12.346395,12.346395,12.346395,39940138
2021-02-26,12.369934,13.435767,11.289577,12.234099,12.234099,44477244
2021-02-27,12.234188,13.055178,11.828577,12.351450,12.351450,31117089
2021-02-28,12.350462,12.688549,10.950601,12.134521,12.134521,38612606
2021-03-01,12.161442,14.104047,12.136516,13.533142,13.533142,46431050
2021-03-02,13.540228,13.845162,12.747514,13.124174,13.124174,34999821
2021-03-03,13.125900,13.967805,13.019688,13.601412,13.601412,36461200
2021-03-04,13.601041,13.923365,12.004565,12.513101,12.513101,36292927
2021-03-05,12.502979,12.502979,11.543775,11.716530,11.716530,30410508
2021-03-06,11.716378,12.167900,11.344695,11.863239,11.863239,22734738
2021-03-07,11.856732,12.466154,11.651373,12.192653,12.192653,25133872
2021-03-08,12.189233,12.282641,11.532359,12.177636,12.177636,25212261
2021-03-09,12.180438,13.652133,11.987082,13.285228,13.285228,42032384
2021-03-10,13.288894,13.320659,12.221273,12.504157,12.504157,33664458
2021-03-11,12.492791,12.723884,11.749428,12.255315,12.255315,34310095
2021-03-12,12.255912,12.892674,11.549009,11.711155,11.711155,32288282
2021-03-13,11.713559,12.080018,11.338932,11.416523,11.416523,33140866
2021-03-14,11.418013,12.189406,11.209781,11.659852,11.659852,27734134
2021-03-15,11.654228,12.495909,10.913378,11.835263,11.835263,48366567
2021-03-16,11.829761,12.088853,10.879324,11.228817,11.228817,44086882
2021-03-17,11.230802,11.947236,10.833507,11.887118,11.887118,30997443
2021-03-18,11.880268,13.510719,11.723693,13.510719,13.510719,46070327
2021-03-19,13.511652,14.199473,12.844071,12.877743,12.877743,44991724
2021-03-20,12.887695,13.348829,12.408305,12.408428,12.408428,26692424
2021-03-21,12.411409,12.658598,12.070567,12.305446,12.305446,23403015
2021-03-22,12.306956,14.188880,12.126342,12.505015,12.505015,44966828
2021-03-23,12.491913,12.861001,11.627080,11.631604,11.631604,27086199
2021-03-24,11.634742,12.387035,10.529450,10.558159,10.558159,27420610
2021-03-25,10.552272,11.397032,10.084600,10.593808,10.593808,24286838
2021-03-26,10.591473,11.652506,10.591343,11.646314,11.646314,21933670
2021-03-27,11.645480,11.711275,10.724728,11.150042,11.150042,20573513
2021-03-28,11.149121,13.862168,11.023743,12.408144,12.408144,63963761
2021-03-29,12.382995,14.456417,12.086559,14.282360,14.282360,42480335
2021-03-30,14.275423,15.074828,13.558055,13.758542,13.758542,51757817
2021-03-31,13.753221,13.842285,12.722587,12.841598,12.841598,33317605
2021-04-01,12.841655,14.354614,12.807956,13.998487,13.998487,40695765
2021-04-02,13.989231,14.524975,13.078517,13.256874,13.256874,36663279
2021-04-03,13.256229,13.593337,12.141491,12.210046,12.210046,27107158
2021-04-04,12.209008,13.757509,12.148507,13.530103,13.530103,35650381
2021-04-05,13.536944,13.613810,12.889778,13.332017,13.332017,39346943
2021-04-06,13.344991,14.764627,13.252599,14.271890,14.271890,59397647
2021-04-07,14.256074,14.584956,12.769622,13.253763,13.253763,40468944
2021-04-08,13.259352,14.941366,13.179324,14.779651,14.779651,53750364
2021-04-09,14.778948,15.249779,14.401802,15.236586,15.236586,44625541
2021-04-10,15.224880,15.706861,13.286959,13.615993,13.615993,55694902
2021-04-11,13.624162,14.450592,13.148370,13.585306,13.585306,44925486
2021-04-12,13.583437,14.711172,13.489351,14.582530,14.582530,52748704
2021-04-13,14.575889,14.819711,13.711395,13.782364,13.782364,44181959
2021-04-14,13.772805,13.964778,13.110563,13.340136,13.340136,37846932
2021-04-15,13.373622,14.813246,13.152307,14.289850,14.289850,40247280
2021-04-16,14.321206,14.491505,13.059240,13.811928,13.811928,47263169
2021-04-17,13.822757,14.219504,13.304541,13.684044,13.684044,32865328
2021-04-18,13.776747,13.810217,11.603960,12.112226,12.112226,46921622
2021-04-19,12.128500,13.443277,11.879656,12.201852,12.201852,36952470
2021-04-20,12.205320,15.129373,10.944128,14.364728,14.364728,80871594
2021-04-21,14.334848,17.870571,13.361568,15.565452,15.565452,150138391
2021-04-22,15.512402,21.446793,14.686370,15.407519,15.407519,345148464
2021-04-23,15.408774,18.500942,13.015062,17.165176,17.165176,193924658
2021-04-24,17.161200,17.246777,14.350191,15.083061,15.083061,94629054
2021-04-25,15.038166,17.857401,14.644705,16.002853,16.002853,89928150
2021-04-26,15.988827,19.952663,15.876664,19.144030,19.144030,169579412
2021-04-27,19.143215,20.585287,18.070219,18.773516,18.773516,109224941
2021-04-28,18.749933,19.932272,16.858751,19.669239,19.669239,111708766
2021-04-29,19.667068,23.982374,19.601809,22.199778,22.199778,216625802
2021-04-30,22.190207,25.008408,21.511518,21.666073,21.666073,142896854
2021-05-01,21.651016,22.428749,20.532892,20.649599,20.649599,92906881
2021-05-02,20.597307,20.681395,19.165892,19.861845,19.861845,86432141
2021-05-03,19.834442,21.396652,19.295361,19.304537,19.304537,64876895
2021-05-04,19.277336,19.778585,17.619995,17.733255,17.733255,68035625
2021-05-05,17.691723,19.796568,17.591675,19.159624,19.159624,55997319
2021-05-06,19.192848,19.217777,17.741026,17.892618,17.892618,48849584
2021-05-07,17.888609,18.206633,16.985403,17.710003,17.710003,50408196
2021-05-08,17.712812,18.952909,17.583261,17.916397,17.916397,49619140
2021-05-09,17.962013,19.832695,16.952635,19.157593,19.157593,65097437
2021-05-10,19.156473,19.351488,15.889818,17.138685,17.138685,67261989
2021-05-11,17.118183,17.759722,16.452387,17.068792,17.068792,48376680
2021-05-12,17.074526,24.977348,16.927914,17.503517,17.503517,260383708
2021-05-13,17.486818,22.157171,16.396666,16.983574,16.983574,197464602
2021-05-14,17.061024,18.791618,16.937174,18.017591,18.017591,107417434
